timestamp,container,cpu_percent,mem_usage
1786636789,perf-litellm,204.65%,2.127GiB / 23.68GiB
1786636789,perf-agentgateway,0.03%,9.695MiB / 23.68GiB
1786636789,perf-mock-server,1.97%,1.875MiB / 23.68GiB
1786636792,perf-litellm,204.85%,2.134GiB / 23.68GiB
1786636792,perf-agentgateway,0.02%,9.625MiB / 23.68GiB
1786636792,perf-mock-server,2.22%,1.895MiB / 23.68GiB
1786636795,perf-litellm,203.15%,2.133GiB / 23.68GiB
1786636795,perf-agentgateway,0.02%,9.621MiB / 23.68GiB
1786636795,perf-mock-server,1.99%,1.898MiB / 23.68GiB
1786636798,perf-litellm,204.41%,2.139GiB / 23.68GiB
1786636798,perf-agentgateway,0.02%,9.621MiB / 23.68GiB
1786636798,perf-mock-server,2.12%,1.918MiB / 23.68GiB
1786636801,perf-litellm,203.89%,2.141GiB / 23.68GiB
1786636801,perf-agentgateway,0.02%,9.621MiB / 23.68GiB
1786636801,perf-mock-server,2.08%,1.922MiB / 23.68GiB
1786636804,perf-litellm,200.30%,2.143GiB / 23.68GiB
1786636804,perf-agentgateway,0.02%,9.621MiB / 23.68GiB
1786636804,perf-mock-server,2.00%,1.918MiB / 23.68GiB
1786636807,perf-litellm,204.52%,2.143GiB / 23.68GiB
1786636807,perf-agentgateway,0.02%,9.621MiB / 23.68GiB
1786636807,perf-mock-server,2.13%,1.922MiB / 23.68GiB
1786636811,perf-litellm,203.60%,2.143GiB / 23.68GiB
1786636811,perf-agentgateway,0.02%,9.621MiB / 23.68GiB
1786636811,perf-mock-server,1.95%,1.938MiB / 23.68GiB
1786636814,perf-litellm,201.90%,2.143GiB / 23.68GiB
1786636814,perf-agentgateway,0.02%,9.621MiB / 23.68GiB
1786636814,perf-mock-server,2.07%,1.934MiB / 23.68GiB
1786636817,perf-litellm,204.54%,2.143GiB / 23.68GiB
1786636817,perf-agentgateway,0.02%,9.621MiB / 23.68GiB
1786636817,perf-mock-server,2.02%,1.941MiB / 23.68GiB
1786636820,perf-litellm,0.38%,2.145GiB / 23.68GiB
1786636820,perf-agentgateway,23.92%,16.1MiB / 23.68GiB
1786636820,perf-mock-server,3.95%,2.234MiB / 23.68GiB
1786636823,perf-litellm,0.68%,2.145GiB / 23.68GiB
1786636823,perf-agentgateway,26.64%,16.41MiB / 23.68GiB
1786636823,perf-mock-server,3.37%,2.238MiB / 23.68GiB
1786636826,perf-litellm,0.50%,2.145GiB / 23.68GiB
1786636826,perf-agentgateway,21.55%,16.25MiB / 23.68GiB
1786636826,perf-mock-server,3.64%,2.238MiB / 23.68GiB
1786636829,perf-litellm,0.35%,2.144GiB / 23.68GiB
1786636829,perf-agentgateway,20.91%,16.29MiB / 23.68GiB
1786636829,perf-mock-server,2.78%,2.238MiB / 23.68GiB
1786636832,perf-litellm,0.42%,2.144GiB / 23.68GiB
1786636832,perf-agentgateway,19.57%,16.26MiB / 23.68GiB
1786636832,perf-mock-server,4.12%,2.238MiB / 23.68GiB
1786636835,perf-litellm,0.39%,2.144GiB / 23.68GiB
1786636835,perf-agentgateway,18.86%,16.55MiB / 23.68GiB
1786636835,perf-mock-server,3.18%,2.238MiB / 23.68GiB
1786636838,perf-litellm,0.40%,2.144GiB / 23.68GiB
1786636838,perf-agentgateway,20.65%,16.31MiB / 23.68GiB
1786636838,perf-mock-server,3.33%,2.238MiB / 23.68GiB
1786636841,perf-litellm,0.38%,2.144GiB / 23.68GiB
1786636841,perf-agentgateway,19.72%,16.46MiB / 23.68GiB
1786636841,perf-mock-server,4.23%,2.238MiB / 23.68GiB
1786636844,perf-litellm,0.53%,2.144GiB / 23.68GiB
1786636844,perf-agentgateway,23.01%,16.45MiB / 23.68GiB
1786636844,perf-mock-server,3.84%,2.238MiB / 23.68GiB
1786636847,perf-litellm,0.52%,2.144GiB / 23.68GiB
1786636847,perf-agentgateway,21.94%,16.57MiB / 23.68GiB
1786636847,perf-mock-server,3.67%,2.238MiB / 23.68GiB
1786636850,perf-litellm,0.56%,2.144GiB / 23.68GiB
1786636850,perf-agentgateway,0.07%,16.11MiB / 23.68GiB
1786636850,perf-mock-server,0.00%,2.238MiB / 23.68GiB
