DEST,CLIENT,QPS,CONS,DUR,PAYLOAD,SUCCESS,THROUGHPUT,P50,P90,P99
litellm,fortio,3000,32,30,1114,29251,974.25qps,32.489ms,45.771ms,68.506ms
agentgateway,fortio,3000,32,30,1114,89984,2998.94qps,0.203ms,0.243ms,0.297ms

