timestamp,container,cpu_percent,mem_usage
1786636476,perf-litellm,203.14%,2.153GiB / 23.68GiB
1786636476,perf-agentgateway,0.02%,9.645MiB / 23.68GiB
1786636476,perf-mock-server,2.28%,2.031MiB / 23.68GiB
1786636478,perf-litellm,207.21%,2.159GiB / 23.68GiB
1786636478,perf-agentgateway,0.02%,9.645MiB / 23.68GiB
1786636478,perf-mock-server,2.12%,2.09MiB / 23.68GiB
1786636481,perf-litellm,206.08%,2.163GiB / 23.68GiB
1786636481,perf-agentgateway,0.02%,9.582MiB / 23.68GiB
1786636481,perf-mock-server,2.18%,2.109MiB / 23.68GiB
1786636484,perf-litellm,208.77%,2.163GiB / 23.68GiB
1786636484,perf-agentgateway,0.02%,9.582MiB / 23.68GiB
1786636484,perf-mock-server,2.18%,2.113MiB / 23.68GiB
1786636487,perf-litellm,205.29%,2.163GiB / 23.68GiB
1786636487,perf-agentgateway,0.02%,9.582MiB / 23.68GiB
1786636487,perf-mock-server,2.30%,2.117MiB / 23.68GiB
1786636490,perf-litellm,204.58%,2.163GiB / 23.68GiB
1786636490,perf-agentgateway,0.02%,9.582MiB / 23.68GiB
1786636490,perf-mock-server,2.40%,2.262MiB / 23.68GiB
1786636493,perf-litellm,202.02%,2.165GiB / 23.68GiB
1786636493,perf-agentgateway,0.02%,9.582MiB / 23.68GiB
1786636493,perf-mock-server,2.22%,2.258MiB / 23.68GiB
1786636496,perf-litellm,205.88%,2.167GiB / 23.68GiB
1786636496,perf-agentgateway,0.02%,9.582MiB / 23.68GiB
1786636496,perf-mock-server,2.16%,2.258MiB / 23.68GiB
1786636499,perf-litellm,204.19%,2.167GiB / 23.68GiB
1786636499,perf-agentgateway,0.02%,9.582MiB / 23.68GiB
1786636499,perf-mock-server,2.10%,2.27MiB / 23.68GiB
1786636503,perf-litellm,205.03%,2.167GiB / 23.68GiB
1786636503,perf-agentgateway,0.02%,9.582MiB / 23.68GiB
1786636503,perf-mock-server,2.23%,2.516MiB / 23.68GiB
1786636506,perf-litellm,0.20%,2.167GiB / 23.68GiB
1786636506,perf-agentgateway,29.22%,17.07MiB / 23.68GiB
1786636506,perf-mock-server,5.40%,2.516MiB / 23.68GiB
1786636509,perf-litellm,0.61%,2.167GiB / 23.68GiB
1786636509,perf-agentgateway,28.12%,17.57MiB / 23.68GiB
1786636509,perf-mock-server,5.41%,2.52MiB / 23.68GiB
1786636512,perf-litellm,0.18%,2.166GiB / 23.68GiB
1786636512,perf-agentgateway,29.09%,17.65MiB / 23.68GiB
1786636512,perf-mock-server,5.37%,2.52MiB / 23.68GiB
1786636515,perf-litellm,0.30%,2.166GiB / 23.68GiB
1786636515,perf-agentgateway,29.56%,17.5MiB / 23.68GiB
1786636515,perf-mock-server,5.64%,2.52MiB / 23.68GiB
1786636518,perf-litellm,0.20%,2.166GiB / 23.68GiB
1786636518,perf-agentgateway,28.75%,17.36MiB / 23.68GiB
1786636518,perf-mock-server,5.43%,2.52MiB / 23.68GiB
1786636521,perf-litellm,0.37%,2.166GiB / 23.68GiB
1786636521,perf-agentgateway,28.37%,17.4MiB / 23.68GiB
1786636521,perf-mock-server,5.38%,2.52MiB / 23.68GiB
1786636524,perf-litellm,0.23%,2.166GiB / 23.68GiB
1786636524,perf-agentgateway,29.13%,17.52MiB / 23.68GiB
1786636524,perf-mock-server,5.34%,2.52MiB / 23.68GiB
1786636527,perf-litellm,0.20%,2.166GiB / 23.68GiB
1786636527,perf-agentgateway,29.17%,17.39MiB / 23.68GiB
1786636527,perf-mock-server,5.59%,2.523MiB / 23.68GiB
1786636530,perf-litellm,0.68%,2.166GiB / 23.68GiB
1786636530,perf-agentgateway,29.10%,17.88MiB / 23.68GiB
1786636530,perf-mock-server,5.40%,2.527MiB / 23.68GiB
1786636533,perf-litellm,0.66%,2.166GiB / 23.68GiB
1786636533,perf-agentgateway,28.67%,17.94MiB / 23.68GiB
1786636533,perf-mock-server,5.38%,2.527MiB / 23.68GiB
1786636536,perf-litellm,0.47%,2.166GiB / 23.68GiB
1786636536,perf-agentgateway,0.06%,17.4MiB / 23.68GiB
1786636536,perf-mock-server,0.00%,2.523MiB / 23.68GiB
