timestamp,container,cpu_percent,mem_usage
1782507267,perf-litellm,1158.47%,11.51GiB / 23.68GiB
1782507267,perf-agentgateway,0.02%,9.586MiB / 23.68GiB
1782507267,perf-mock-server,5.19%,2.941MiB / 23.68GiB
1782507270,perf-litellm,682.94%,11.64GiB / 23.68GiB
1782507270,perf-agentgateway,0.02%,9.492MiB / 23.68GiB
1782507270,perf-mock-server,8.59%,3.094MiB / 23.68GiB
1782507273,perf-litellm,673.51%,11.65GiB / 23.68GiB
1782507273,perf-agentgateway,0.02%,9.492MiB / 23.68GiB
1782507273,perf-mock-server,8.49%,3.094MiB / 23.68GiB
1782507276,perf-litellm,673.08%,11.65GiB / 23.68GiB
1782507276,perf-agentgateway,0.02%,9.488MiB / 23.68GiB
1782507276,perf-mock-server,8.43%,3.094MiB / 23.68GiB
1782507279,perf-litellm,675.26%,11.66GiB / 23.68GiB
1782507279,perf-agentgateway,0.03%,9.488MiB / 23.68GiB
1782507279,perf-mock-server,8.28%,3.109MiB / 23.68GiB
1782507282,perf-litellm,675.22%,11.66GiB / 23.68GiB
1782507282,perf-agentgateway,0.02%,9.488MiB / 23.68GiB
1782507282,perf-mock-server,8.40%,3.117MiB / 23.68GiB
1782507285,perf-litellm,673.97%,11.67GiB / 23.68GiB
1782507285,perf-agentgateway,0.02%,9.488MiB / 23.68GiB
1782507285,perf-mock-server,8.29%,3.121MiB / 23.68GiB
1782507288,perf-litellm,675.52%,11.68GiB / 23.68GiB
1782507288,perf-agentgateway,0.02%,9.488MiB / 23.68GiB
1782507288,perf-mock-server,8.22%,3.164MiB / 23.68GiB
1782507291,perf-litellm,676.44%,11.68GiB / 23.68GiB
1782507291,perf-agentgateway,0.02%,9.488MiB / 23.68GiB
1782507291,perf-mock-server,8.01%,3.121MiB / 23.68GiB
1782507294,perf-litellm,673.50%,11.68GiB / 23.68GiB
1782507294,perf-agentgateway,0.03%,9.488MiB / 23.68GiB
1782507294,perf-mock-server,8.23%,3.172MiB / 23.68GiB
1782507297,perf-litellm,1.30%,11.69GiB / 23.68GiB
1782507297,perf-agentgateway,29.42%,15.46MiB / 23.68GiB
1782507297,perf-mock-server,4.63%,2.992MiB / 23.68GiB
1782507300,perf-litellm,1.18%,11.69GiB / 23.68GiB
1782507300,perf-agentgateway,27.41%,16.45MiB / 23.68GiB
1782507300,perf-mock-server,4.77%,3.012MiB / 23.68GiB
1782507303,perf-litellm,1.20%,11.69GiB / 23.68GiB
1782507303,perf-agentgateway,27.83%,16.2MiB / 23.68GiB
1782507303,perf-mock-server,4.77%,3.012MiB / 23.68GiB
1782507306,perf-litellm,1.28%,11.69GiB / 23.68GiB
1782507306,perf-agentgateway,28.28%,16.37MiB / 23.68GiB
1782507306,perf-mock-server,4.83%,3.012MiB / 23.68GiB
1782507309,perf-litellm,1.19%,11.69GiB / 23.68GiB
1782507309,perf-agentgateway,28.12%,16.74MiB / 23.68GiB
1782507309,perf-mock-server,4.90%,3.012MiB / 23.68GiB
1782507313,perf-litellm,1.88%,11.69GiB / 23.68GiB
1782507313,perf-agentgateway,27.87%,16.53MiB / 23.68GiB
1782507313,perf-mock-server,5.02%,3.012MiB / 23.68GiB
1782507316,perf-litellm,1.26%,11.69GiB / 23.68GiB
1782507316,perf-agentgateway,27.27%,16.37MiB / 23.68GiB
1782507316,perf-mock-server,5.05%,3.012MiB / 23.68GiB
1782507319,perf-litellm,1.70%,11.69GiB / 23.68GiB
1782507319,perf-agentgateway,27.88%,16.34MiB / 23.68GiB
1782507319,perf-mock-server,5.03%,3.012MiB / 23.68GiB
1782507322,perf-litellm,1.36%,11.69GiB / 23.68GiB
1782507322,perf-agentgateway,29.47%,16.97MiB / 23.68GiB
1782507322,perf-mock-server,5.42%,3.086MiB / 23.68GiB
1782507325,perf-litellm,1.69%,11.69GiB / 23.68GiB
1782507325,perf-agentgateway,27.90%,17.07MiB / 23.68GiB
1782507325,perf-mock-server,4.99%,3.055MiB / 23.68GiB
1782507328,perf-litellm,3.83%,11.69GiB / 23.68GiB
1782507328,perf-agentgateway,0.05%,16.63MiB / 23.68GiB
1782507328,perf-mock-server,1.19%,3.051MiB / 23.68GiB
